"","X","id","load_entry_id","file_descriptor","member_id","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","pymnt_plan","url","desc","purpose","title","zip_code","addr_state","dti","delinq_2yrs","earliest_cr_line","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","next_pymnt_d","last_credit_pull_d","collections_12_mths_ex_med","mths_since_last_major_derog","policy_code","application_type","annual_inc_joint","dti_joint","verification_status_joint","acc_now_delinq","tot_coll_amt","tot_cur_bal","open_acc_6m","open_il_6m","open_il_12m","open_il_24m","mths_since_rcnt_il","total_bal_il","il_util","open_rv_12m","open_rv_24m","max_bal_bc","all_util","total_rev_hi_lim","inq_fi","total_cu_tl","inq_last_12m","acc_open_past_24mths","avg_cur_bal","bc_open_to_buy","bc_util","chargeoff_within_12_mths","delinq_amnt","mo_sin_old_il_acct","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","mo_sin_rcnt_tl","mort_acc","mths_since_recent_bc","mths_since_recent_bc_dlq","mths_since_recent_inq","mths_since_recent_revol_delinq","num_accts_ever_120_pd","num_actv_bc_tl","num_actv_rev_tl","num_bc_sats","num_bc_tl","num_il_tl","num_op_rev_tl","num_rev_accts","num_rev_tl_bal_gt_0","num_sats","num_tl_120dpd_2m","num_tl_30dpd","num_tl_90g_dpd_24m","num_tl_op_past_12m","pct_tl_nvr_dlq","percent_bc_gt_75","pub_rec_bankruptcies","tax_liens","tot_hi_cred_lim","total_bal_ex_mort","total_bc_limit","total_il_high_credit_limit","revol_bal_joint","sec_app_earliest_cr_line","sec_app_inq_last_6mths","sec_app_mort_acc","sec_app_open_acc","sec_app_revol_util","sec_app_open_il_6m","sec_app_num_rev_accts","sec_app_chargeoff_within_12_mths","sec_app_collections_12_mths_ex_med","sec_app_mths_since_last_major_derog","hardship_flag","hardship_type","hardship_reason","hardship_status","deferral_term","hardship_amount","hardship_start_date","hardship_end_date","payment_plan_start_date","hardship_length","hardship_dpd","hardship_loan_status","orig_projected_additional_accrued_interest","hardship_payoff_balance_amount","hardship_last_payment_amount"
"296192",296192,3316245,-2140141508,"3c",NA,17600,17600,17600,"36 months","10.15%",569.15,"B","B2","Settlement","10+ years","OWN",55000,"Source Verified","Oct-2014","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","945xx","CA",24.31,0,"Feb-2000",0,NA,NA,15,0,23161,"41.1%",31,"f",0,0,20115.440000321,20115.44,17600,2515.44,0,0,0,"Oct-2016",7044.84,"","Nov-2017",0,NA,1,"Individual",NA,NA,"",0,0,34040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56300,NA,NA,NA,3,2431,23939,49.2,0,0,124,176,5,5,0,5,NA,10,NA,0,4,4,9,18,5,14,26,4,15,0,0,0,2,100,33.3,0,0,75300,34040,47100,19000,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"219806",219806,3855783,-2140141507,"3d",NA,3600,3600,3600,"36 months","6.68%",110.64,"A","A3","Attorney","9 years","RENT",46000,"Not Verified","Mar-2015","Charged Off","n",NA,"","car","Car financing","100xx","NY",22.15,0,"Mar-2008",0,NA,NA,21,0,5834,"24.3%",25,"f",0,0,2543.38,2543.38,2216.51,326.87,0,0,0,"Feb-2017",110.64,"","Oct-2017",0,NA,1,"Individual",NA,NA,"",0,0,168029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24000,NA,NA,NA,5,8001,14616,28,0,0,79,84,7,7,0,7,NA,NA,NA,0,4,5,7,8,15,9,10,5,21,0,0,0,4,100,14.3,0,0,173541,168029,20300,149541,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"142772",142772,3710061,-2140141507,"3d",NA,20000,20000,20000,"36 months","9.99%",645.25,"B","B3","Office Manager","10+ years","OWN",120000,"Not Verified","Aug-2015","Charged Off","n",NA,"","debt_consolidation","Debt consolidation","061xx","CT",22.82,2,"Sep-1984",0,11,NA,16,0,43263,"63.5%",27,"w",0,0,1279.4,1279.4,961.49,317.91,0,0,0,"Oct-2015",645.25,"","Oct-2015",0,NA,1,"Individual",NA,NA,"",0,0,70720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68100,NA,NA,NA,4,4420,7665,82.3,0,0,62,123,4,4,0,8,NA,13,17,0,4,8,5,12,3,14,22,8,16,0,0,0,3,92.6,80,0,0,138563,70720,43400,32057,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"433148",433148,3471924,-2140141508,"3c",NA,12000,12000,12000,"36 months","8.90%",381.04,"A","A5","UX Designer","< 1 year","RENT",75000,"Source Verified","Mar-2014","Fully Paid","n",NA,"Borrower added on 03/17/14 > I am currently trying to consolidate my debt so I can then start saving for the future.<br>","debt_consolidation","Debt consolidation","112xx","NY",9.73,0,"Aug-2003",1,NA,NA,8,0,12780,"95.4%",14,"f",0,0,13606.6700008694,13606.67,12000,1606.67,0,0,0,"Jun-2016",3699.63,"","Jul-2016",0,NA,1,"Individual",NA,NA,"",0,0,42434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13400,NA,NA,NA,1,5304,620,95.4,0,0,127,110,12,12,0,12,NA,2,NA,0,4,4,4,5,9,4,5,4,8,0,0,0,1,100,100,0,0,48555,42434,13400,35155,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"429639",429639,3468046,-2140141508,"3c",NA,13075,13075,13075,"36 months","10.99%",428,"B","B2","Technical Services Specialist","7 years","RENT",77000,"Verified","Mar-2014","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","927xx","CA",20.42,0,"Aug-2003",0,NA,NA,13,0,13953,"39.5%",28,"w",0,0,15407.8647136895,15407.86,13075,2332.86,0,0,0,"Mar-2017",427.86,"","Jul-2017",0,NA,1,"Individual",NA,NA,"",0,0,41327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35300,NA,NA,NA,7,3179,6564,64.1,0,0,84,127,1,1,0,2,NA,NA,NA,0,5,8,5,10,8,11,20,8,13,0,0,0,6,100,40,0,0,80817,41327,18300,45517,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"32492",32492,4257023,-2140141504,"2016Q3",NA,12000,12000,12000,"36 months","8.99%",381.55,"B","B1","Registered Nurse Clinical Manager","< 1 year","RENT",74000,"Source Verified","Jul-2016","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","800xx","CO",17.45,0,"Oct-2006",0,NA,NA,34,0,15546,"44.3%",57,"f",0,0,12284.9100000475,12284.91,12000,284.91,0,0,0,"Oct-2016",11527.8,"","Aug-2017",0,NA,1,"Individual",NA,NA,"",0,0,136390,0,NA,2,6,7,120844,93,0,1,11454,79,35100,3,3,3,7,4011,11487,56.7,0,0,117,105,17,7,0,26,NA,7,NA,0,3,4,4,8,36,11,21,4,34,0,0,0,2,100,25,0,0,149941,136390,26500,114841,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"129099",129099,3681149,-2140141507,"3d",NA,8925,8925,8925,"36 months","7.89%",279.23,"A","A5","Delivery Driver","7 years","RENT",32000,"Source Verified","Aug-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","920xx","CA",13.64,0,"Mar-1988",0,NA,NA,12,0,8459,"11.7%",23,"w",0,0,9866.1370495636,9866.14,8925,941.14,0,0,0,"Jun-2017",4006.22,"","Nov-2017",0,NA,1,"Individual",NA,NA,"",0,0,236051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72000,NA,NA,NA,10,21459,59143,12.3,0,0,158,329,4,4,3,13,NA,1,NA,0,4,5,6,9,2,10,17,5,12,0,0,0,3,100,0,0,0,300700,9159,67400,0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"258046",258046,3920195,-2140141507,"3d",NA,11000,11000,11000,"36 months","7.49%",342.12,"A","A4","NURSE PRACTITIONER","4 years","MORTGAGE",110000,"Source Verified","Jan-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","972xx","OR",29.09,0,"Oct-2001",0,NA,NA,16,0,29232,"70.6%",41,"w",0,0,11525.04,11525.04,11000,525.04,0,0,0,"Oct-2015",7534.19,"","Oct-2017",0,NA,1,"Individual",NA,NA,"",0,0,348602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41400,NA,NA,NA,3,23240,8848,76.7,0,0,159,141,35,4,3,35,NA,1,NA,0,4,5,5,7,24,9,14,5,16,0,0,0,2,100,40,0,0,388535,114514,38000,112135,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"642811",642811,3207025,-2140141509,"3b",NA,14400,14400,14375,"36 months","10.16%",465.73,"B","B1","M&T bank","10+ years","MORTGAGE",83000,"Verified","Mar-2013","Fully Paid","n",NA,"Borrower added on 03/04/13 > Consolidate approx. 7 open credit accounts into one payment at a lower interest rate.<br>","debt_consolidation","Debt Consolidation","191xx","PA",26.26,0,"Mar-1995",1,NA,NA,17,0,28673,"73.9%",41,"f",0,0,16485.4299964597,16456.81,14400,2085.43,0,0,0,"Mar-2015",5781.35,"","Nov-2017",0,NA,1,"Individual",NA,NA,"",0,0,103128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38800,NA,NA,NA,6,6066,934,92.8,0,0,113,219,9,9,2,9,NA,6,NA,0,5,13,5,15,12,13,27,13,17,0,0,0,1,100,80,0,0,132506,40929,13000,22206,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"593146",593146,3154446,-2140141509,"3b",NA,21000,21000,21000,"60 months","14.33%",492.24,"C","C2","Enterprise","1 year","OWN",85000,"Verified","Aug-2013","Charged Off","n",NA,"","credit_card","Credit card refinancing","574xx","SD",27.92,0,"Mar-2001",0,NA,NA,6,0,31480,"80.5%",24,"f",0,0,21046.1700020181,21046.17,12677.2,7504.64,0,864.33,155.5793999998,"Jan-2017",492.24,"","Jul-2017",0,NA,1,"Individual",NA,NA,"",0,0,73981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39100,NA,NA,NA,2,14796,7620,80.5,0,0,127,151,84,3,1,88,NA,16,NA,0,2,2,3,9,11,3,12,2,6,0,0,0,1,100,50,0,0,94379,73981,39100,55279,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
